DATE,STORE LOCATION,STORE TYPE,SALES,CLOSEST WEATHER CENTER LOCATION,
1/1/2016,1001,1,0,"ANDOVER 2, ME US",
1/2/2016,1001,1,1482.03,"ANDOVER 2, ME US",
1/3/2016,1001,1,1430.17,"ANDOVER 2, ME US",
1/4/2016,1001,1,1532.8,"ANDOVER 2, ME US",
1/5/2016,1001,1,1647.63,"ANDOVER 2, ME US",
1/6/2016,1001,1,1623.31,"ANDOVER 2, ME US",
1/7/2016,1001,1,1542.43,"ANDOVER 2, ME US",
1/8/2016,1001,1,1572.55,"ANDOVER 2, ME US",
1/9/2016,1001,1,1571.14,"ANDOVER 2, ME US",
1/10/2016,1001,1,1440.95,"ANDOVER 2, ME US",
1/11/2016,1001,1,1380.74,"ANDOVER 2, ME US",
1/12/2016,1001,1,1607.97,"ANDOVER 2, ME US",
1/13/2016,1001,1,1629.02,"ANDOVER 2, ME US",
1/14/2016,1001,1,1574.1,"ANDOVER 2, ME US",
1/15/2016,1001,1,1617.82,"ANDOVER 2, ME US",
1/16/2016,1001,1,1582.81,"ANDOVER 2, ME US",
1/17/2016,1001,1,1452.53,"ANDOVER 2, ME US",
1/18/2016,1001,1,1485.75,"ANDOVER 2, ME US",
1/19/2016,1001,1,1597.47,"ANDOVER 2, ME US",
1/20/2016,1001,1,1627.8,"ANDOVER 2, ME US",
1/21/2016,1001,1,1559.72,"ANDOVER 2, ME US",
1/22/2016,1001,1,1537.97,"ANDOVER 2, ME US",
1/23/2016,1001,1,1624.32,"ANDOVER 2, ME US",
1/24/2016,1001,1,1636.02,"ANDOVER 2, ME US",
1/25/2016,1001,1,1403.58,"ANDOVER 2, ME US",
1/26/2016,1001,1,1261.49,"ANDOVER 2, ME US",
1/27/2016,1001,1,1240.23,"ANDOVER 2, ME US",
1/28/2016,1001,1,1305.38,"ANDOVER 2, ME US",
1/29/2016,1001,1,1334.38,"ANDOVER 2, ME US",
1/30/2016,1001,1,1253.5,"ANDOVER 2, ME US",
1/31/2016,1001,1,1211.02,"ANDOVER 2, ME US",
2/1/2016,1001,1,1232.99,"ANDOVER 2, ME US",
2/2/2016,1001,1,1191.82,"ANDOVER 2, ME US",
2/3/2016,1001,1,1270.93,"ANDOVER 2, ME US",
2/4/2016,1001,1,1181.54,"ANDOVER 2, ME US",
2/5/2016,1001,1,1178.53,"ANDOVER 2, ME US",
2/6/2016,1001,1,1333.52,"ANDOVER 2, ME US",
2/7/2016,1001,1,1259.87,"ANDOVER 2, ME US",
2/8/2016,1001,1,1306.5,"ANDOVER 2, ME US",
2/9/2016,1001,1,1304.89,"ANDOVER 2, ME US",
2/10/2016,1001,1,1354.53,"ANDOVER 2, ME US",
2/11/2016,1001,1,1312.49,"ANDOVER 2, ME US",
2/12/2016,1001,1,1384.9,"ANDOVER 2, ME US",
2/13/2016,1001,1,1393.83,"ANDOVER 2, ME US",
2/14/2016,1001,1,1514.58,"ANDOVER 2, ME US",
2/15/2016,1001,1,1512.92,"ANDOVER 2, ME US",
2/16/2016,1001,1,1665.32,"ANDOVER 2, ME US",
2/17/2016,1001,1,1231.9,"ANDOVER 2, ME US",
2/18/2016,1001,1,1235.07,"ANDOVER 2, ME US",
2/19/2016,1001,1,1345.66,"ANDOVER 2, ME US",
2/20/2016,1001,1,1631.72,"ANDOVER 2, ME US",
2/21/2016,1001,1,1423.96,"ANDOVER 2, ME US",
2/22/2016,1001,1,1516.85,"ANDOVER 2, ME US",
2/23/2016,1001,1,1713.14,"ANDOVER 2, ME US",
2/24/2016,1001,1,1633.49,"ANDOVER 2, ME US",
2/25/2016,1001,1,1464.81,"ANDOVER 2, ME US",
2/26/2016,1001,1,1440.29,"ANDOVER 2, ME US",
2/27/2016,1001,1,1563.91,"ANDOVER 2, ME US",
2/28/2016,1001,1,1529.44,"ANDOVER 2, ME US",
2/29/2016,1001,1,1473.71,"ANDOVER 2, ME US",
3/1/2016,1001,1,1511.61,"ANDOVER 2, ME US",
3/2/2016,1001,1,1491.92,"ANDOVER 2, ME US",
3/3/2016,1001,1,1622.81,"ANDOVER 2, ME US",
3/4/2016,1001,1,1684.55,"ANDOVER 2, ME US",
3/5/2016,1001,1,1687.08,"ANDOVER 2, ME US",
3/6/2016,1001,1,1587.2,"ANDOVER 2, ME US",
3/7/2016,1001,1,1526.05,"ANDOVER 2, ME US",
3/8/2016,1001,1,1512.82,"ANDOVER 2, ME US",
3/9/2016,1001,1,1467.25,"ANDOVER 2, ME US",
3/10/2016,1001,1,1156.08,"ANDOVER 2, ME US",
3/11/2016,1001,1,1151.17,"ANDOVER 2, ME US",
3/12/2016,1001,1,1192.44,"ANDOVER 2, ME US",
3/13/2016,1001,1,1163.65,"ANDOVER 2, ME US",
3/14/2016,1001,1,1174.62,"ANDOVER 2, ME US",
3/15/2016,1001,1,1186.8,"ANDOVER 2, ME US",
3/16/2016,1001,1,1211.01,"ANDOVER 2, ME US",
3/17/2016,1001,1,1167.85,"ANDOVER 2, ME US",
3/18/2016,1001,1,1169.48,"ANDOVER 2, ME US",
3/19/2016,1001,1,1230.78,"ANDOVER 2, ME US",
3/20/2016,1001,1,1258.06,"ANDOVER 2, ME US",
3/21/2016,1001,1,1224.75,"ANDOVER 2, ME US",
3/22/2016,1001,1,1212.07,"ANDOVER 2, ME US",
3/23/2016,1001,1,1184.97,"ANDOVER 2, ME US",
3/24/2016,1001,1,1228,"ANDOVER 2, ME US",
3/25/2016,1001,1,1231.35,"ANDOVER 2, ME US",
3/26/2016,1001,1,1217.73,"ANDOVER 2, ME US",
3/27/2016,1001,1,1183.62,"ANDOVER 2, ME US",
3/28/2016,1001,1,1174.56,"ANDOVER 2, ME US",
3/29/2016,1001,1,1163.3,"ANDOVER 2, ME US",
3/30/2016,1001,1,1192.21,"ANDOVER 2, ME US",
3/31/2016,1001,1,1207.87,"ANDOVER 2, ME US",
4/1/2016,1001,1,1205.82,"ANDOVER 2, ME US",
4/2/2016,1001,1,1096.68,"ANDOVER 2, ME US",
4/3/2016,1001,1,1238.89,"ANDOVER 2, ME US",
4/4/2016,1001,1,1296.56,"ANDOVER 2, ME US",
4/5/2016,1001,1,1288.66,"ANDOVER 2, ME US",
