WEATHER CENTER LOCATION,LATITUDE,LONGITUDE,DATE,SNWD,TMAX,TMIN
"ANDOVER 2, ME US",44.653,-70.7941,1/1/2016,8,33,22
"ANDOVER 2, ME US",44.653,-70.7941,1/2/2016,9,33,22
"ANDOVER 2, ME US",44.653,-70.7941,1/3/2016,9,29,23
"ANDOVER 2, ME US",44.653,-70.7941,1/4/2016,9,32,8
"ANDOVER 2, ME US",44.653,-70.7941,1/5/2016,9,14,-3
"ANDOVER 2, ME US",44.653,-70.7941,1/6/2016,9,15,-3
"ANDOVER 2, ME US",44.653,-70.7941,1/7/2016,9,33,9
"ANDOVER 2, ME US",44.653,-70.7941,1/8/2016,9,32,6
"ANDOVER 2, ME US",44.653,-70.7941,1/9/2016,9,33,5
"ANDOVER 2, ME US",44.653,-70.7941,1/10/2016,8,30,25
"ANDOVER 2, ME US",44.653,-70.7941,1/11/2016,6,42,30
"ANDOVER 2, ME US",44.653,-70.7941,1/12/2016,6,33,2
"ANDOVER 2, ME US",44.653,-70.7941,1/13/2016,9,21,2
"ANDOVER 2, ME US",44.653,-70.7941,1/14/2016,9,20,4
"ANDOVER 2, ME US",44.653,-70.7941,1/15/2016,9,21,1
"ANDOVER 2, ME US",44.653,-70.7941,1/16/2016,9,24,6
"ANDOVER 2, ME US",44.653,-70.7941,1/17/2016,13,30,22
"ANDOVER 2, ME US",44.653,-70.7941,1/18/2016,12,27,17
"ANDOVER 2, ME US",44.653,-70.7941,1/19/2016,15,22,3
"ANDOVER 2, ME US",44.653,-70.7941,1/20/2016,15,16,2
"ANDOVER 2, ME US",44.653,-70.7941,1/21/2016,15,19,10
"ANDOVER 2, ME US",44.653,-70.7941,1/22/2016,15,15,10
"ANDOVER 2, ME US",44.653,-70.7941,1/23/2016,13,21,4
"ANDOVER 2, ME US",44.653,-70.7941,1/24/2016,10,21,-3
"ANDOVER 2, ME US",44.653,-70.7941,1/25/2016,4,29,-3
"ANDOVER 2, ME US",44.653,-70.7941,1/26/2016,2,30,15
"ANDOVER 2, ME US",44.653,-70.7941,1/27/2016,0,44,15
"ANDOVER 2, ME US",44.653,-70.7941,1/28/2016,0,36,8
"ANDOVER 2, ME US",44.653,-70.7941,1/29/2016,0,30,8
"ANDOVER 2, ME US",44.653,-70.7941,1/30/2016,1,32,18
